c_id,number_of_doors,tyre_type,number_of_cylinders,drive_type,turbo_charger,super_charger,length(mm),width(mm),height(mm),color,Mileage(Kmpl),Seats,oem,model,modelYear,variantName,price,kilometers_driven,ownerNo,Driver Airbag,Passenger Airbag,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,model_freq,variantName_freq,color_freq,drive_type_freq,tyre_type_freq,Insurance Type_Comprehensive,Insurance Type_Third Party,Fuel Type_Cng,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Lpg,Fuel Type_Petrol,Body Type_Convertibles,Body Type_Coupe,Body Type_Hatchback,Body Type_Hybrids,Body Type_MUV,Body Type_Minivans,Body Type_Pickup Trucks,Body Type_SUV,Body Type_Sedan,Body Type_Wagon,transmission_Automatic,transmission_Manual,city_bangalore,city_chennai,city_delhi,city_hyderabad,city_jaipur,city_kolkata
1,4,Tubeless Radial,4,FWD,0,0,4825,1825,1480,White,19,5,Toyota,Toyota Camry,2014,Hybrid,975000,70000,3,1,1,1,1,1,1,1,0,0,0.0013143744772374237,0.0007169315330385948,0.1977536145298124,0.6674632572589317,0.7710598637830087,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
2,5,Radial,3,2WD,0,0,3429,1560,1541,Red,23,5,Datsun,Datsun RediGO,2017,T Option,266000,23981,1,0,0,1,1,1,1,1,1,1,0.005496475086629227,0.0017923288325964871,0.09535189389413311,0.02652646672242801,0.025929023778229178,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,5,Tubeless Radial,3,4WD,0,0,3991,1750,1605,Blue,19,5,Renault,Renault Kiger,2021,RXT AMT,595000,7100,1,1,1,1,1,1,1,1,0,1,0.003465169076353208,0.000597442944198829,0.07229059624805831,0.2200979806428486,0.7710598637830087,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
4,5,Tubeless Radial,4,FWD,0,0,3940,1710,1505,Red,17,5,Hyundai,Hyundai i20,2011,1.2 Sportz,223000,71574,2,1,0,1,1,1,1,0,0,1,0.03955072290596248,0.0010753972995578922,0.09535189389413311,0.6674632572589317,0.7710598637830087,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,5,Tubeless Radial,4,AWD,1,0,4385,2019,1608,White,16,5,Audi,Audi Q3,2014,35 TDI Quattro Premium,1200000,50000,2,1,1,1,1,1,1,1,0,0,0.00370414625403274,0.000597442944198829,0.1977536145298124,0.034890667941211616,0.7710598637830087,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
6,5,Tubeless Radial,4,FWD,0,0,3655,1620,1675,Brown,21,5,Maruti,Maruti Wagon R,2018,VXI AMT 1.2,425000,35629,1,1,0,1,1,1,1,1,0,1,0.02987214720994145,0.0002389771776795316,0.03106703309833911,0.6674632572589317,0.7710598637830087,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,5,Tubeless Radial,4,FWD,0,0,3610,1645,1560,Silver,20,5,Hyundai,Hyundai Santro,2020,Sportz AMT,596000,11476,2,1,1,1,1,1,1,1,0,1,0.006093918030828056,0.0004779543553590632,0.15306488230374,0.6674632572589317,0.7710598637830087,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,5,Tubeless Radial,3,FWD,0,0,3679,1579,1478,Silver,25,5,Renault,Renault KWID,2018,RXT Optional,250000,31000,1,1,0,1,1,1,1,1,0,1,0.01792328832596487,0.0010753972995578922,0.15306488230374,0.6674632572589317,0.7710598637830087,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9,4,Tubeless Radial,4,2WD,0,0,4160,1690,1530,Silver,18,5,Maruti,Maruti Swift Dzire,2011,VXi,221000,41005,2,0,0,1,1,1,1,0,0,1,0.03023061297646075,0.003465169076353208,0.15306488230374,0.02652646672242801,0.7710598637830087,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
10,4,Tubeless Radial,3,FWD,0,0,3595,1475,1670,Red,19,5,Maruti,Maruti Wagon R,2010,LX BS IV,208000,60055,1,0,0,0,0,1,1,1,1,0,0.02987214720994145,0.0001194885888397658,0.09535189389413311,0.6674632572589317,0.7710598637830087,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
