Insurance Validity,Seats,c_id
Third Party insurance,5,1
Comprehensive,5,2
Comprehensive,5,3
Third Party,5,4
Third Party insurance,5,5
Comprehensive,5,6
Comprehensive,5,7
Third Party insurance,5,8
Comprehensive,5,9
Third Party,5,10
Comprehensive,5,11
Third Party,5,12
Comprehensive,5,13
Comprehensive,5,14
Comprehensive,5,15
Third Party insurance,7,16
Comprehensive,5,17
Third Party insurance,5,18
Comprehensive,5,19
Comprehensive,5,20
Third Party insurance,5,21
Third Party,5,22
Third Party insurance,5,23
Zero Dep,5,24
Third Party insurance,5,25
Comprehensive,5,26
Third Party,5,27
Third Party insurance,5,28
Comprehensive,5,29
Zero Dep,5,30
Third Party insurance,5,31
Third Party,5,32
Comprehensive,5,33
Comprehensive,5,34
Comprehensive,5,35
Comprehensive,5,36
Comprehensive,5,37
Comprehensive,5,38
Third Party insurance,5,39
Comprehensive,5,40
Third Party insurance,8,41
Third Party insurance,5,42
Third Party insurance,5,43
Comprehensive,5,44
Third Party insurance,5,45
Third Party insurance,5,46
Zero Dep,5,47
Third Party insurance,5,48
Third Party,5,49
Comprehensive,5,50
Third Party insurance,5,51
Comprehensive,5,52
Third Party insurance,5,53
Comprehensive,5,54
Third Party insurance,5,55
Comprehensive,5,56
Comprehensive,5,57
Comprehensive,7,58
Third Party insurance,5,59
Comprehensive,5,60
Comprehensive,5,61
Third Party,5,62
Comprehensive,5,63
Comprehensive,5,64
Comprehensive,5,65
Third Party,5,66
Third Party,5,67
Third Party insurance,5,68
Comprehensive,5,69
Comprehensive,5,70
Comprehensive,5,71
Third Party insurance,5,72
Comprehensive,5,73
Comprehensive,5,74
Third Party insurance,5,75
Comprehensive,5,76
Third Party insurance,5,77
Third Party insurance,5,78
Third Party insurance,5,79
Third Party insurance,5,80
Third Party insurance,5,81
Comprehensive,5,82
Comprehensive,5,83
Comprehensive,5,84
Comprehensive,5,85
Comprehensive,7,86
Comprehensive,5,87
Third Party insurance,5,88
Third Party,6,89
Zero Dep,5,90
Third Party insurance,5,91
Third Party insurance,5,92
Third Party insurance,5,93
Third Party insurance,5,94
Third Party insurance,5,95
Third Party insurance,5,96
Comprehensive,5,97
Third Party insurance,5,98
Comprehensive,7,99
Third Party,5,100
Third Party insurance,5,101
Third Party,6,102
Comprehensive,6,103
Comprehensive,5,104
Comprehensive,7,105
Third Party insurance,5,106
Third Party,5,107
Comprehensive,7,108
Third Party,5,109
Zero Dep,5,110
Third Party insurance,5,111
Third Party insurance,5,112
Comprehensive,5,113
Comprehensive,5,114
Third Party insurance,5,115
Third Party insurance,5,116
Third Party insurance,5,117
Third Party insurance,10,118
Third Party insurance,5,119
Comprehensive,7,120
Comprehensive,5,121
Third Party,5,122
Third Party insurance,5,123
Zero Dep,5,124
Third Party,5,125
Comprehensive,5,126
Comprehensive,5,127
Third Party insurance,7,128
Third Party,5,129
Comprehensive,5,130
Comprehensive,5,131
Comprehensive,5,132
Comprehensive,5,133
Third Party insurance,5,134
Comprehensive,5,135
Comprehensive,5,136
Comprehensive,6,137
Comprehensive,5,138
Comprehensive,5,139
Comprehensive,5,140
Comprehensive,7,141
Third Party,5,142
Third Party insurance,5,143
Comprehensive,5,144
Comprehensive,5,145
Comprehensive,5,146
Comprehensive,5,147
Third Party insurance,5,148
Third Party,5,149
Third Party,5,150
Third Party insurance,5,151
Comprehensive,7,152
Comprehensive,5,153
Third Party insurance,5,154
Comprehensive,5,155
Comprehensive,5,156
Third Party insurance,5,157
Comprehensive,7,158
Comprehensive,5,159
Comprehensive,5,160
Comprehensive,5,161
Comprehensive,5,162
Comprehensive,5,163
Comprehensive,5,164
Third Party insurance,5,165
Comprehensive,5,166
Comprehensive,5,167
Third Party insurance,5,168
Comprehensive,5,169
Third Party,5,170
Comprehensive,7,171
Third Party insurance,5,172
Comprehensive,5,173
Comprehensive,5,174
Comprehensive,5,175
Comprehensive,5,176
Third Party,5,177
Comprehensive,5,178
Comprehensive,5,179
Third Party,5,180
Comprehensive,5,181
Third Party,5,182
Comprehensive,7,183
Third Party insurance,5,184
Third Party,5,185
Comprehensive,5,186
Third Party insurance,5,187
Third Party insurance,6,188
Comprehensive,5,189
Third Party insurance,5,190
Third Party insurance,6,191
Comprehensive,5,192
Third Party insurance,5,193
Third Party insurance,7,194
Comprehensive,7,195
Third Party insurance,5,196
Comprehensive,5,197
Third Party insurance,5,198
Third Party insurance,5,199
Third Party insurance,7,200
Comprehensive,5,201
Comprehensive,5,202
Third Party insurance,6,203
Third Party,5,204
Zero Dep,5,205
Third Party insurance,5,206
Third Party,5,207
Third Party insurance,5,208
Third Party,5,209
Comprehensive,5,210
Third Party insurance,5,211
Comprehensive,7,212
Comprehensive,7,213
Third Party insurance,7,214
Third Party insurance,10,215
Third Party insurance,5,216
Comprehensive,4,217
Third Party insurance,7,218
Third Party,5,219
Third Party insurance,6,220
Comprehensive,5,221
Third Party,5,222
Third Party insurance,5,223
Comprehensive,5,224
Third Party insurance,5,225
Third Party insurance,5,226
Comprehensive,5,227
Third Party insurance,5,228
Comprehensive,5,229
Third Party,5,230
Third Party insurance,5,231
Comprehensive,5,232
Third Party insurance,5,233
Third Party insurance,5,234
Third Party insurance,7,235
Third Party insurance,5,236
Third Party insurance,7,237
Comprehensive,5,238
Third Party insurance,5,239
Third Party insurance,5,240
Third Party,5,241
Comprehensive,5,242
Third Party insurance,5,243
Third Party,5,244
Third Party,5,245
Comprehensive,7,246
Comprehensive,5,247
Third Party,5,248
Comprehensive,5,249
Third Party insurance,5,250
Third Party insurance,7,251
Third Party insurance,5,252
Third Party insurance,6,253
Third Party insurance,5,254
Third Party insurance,7,255
Comprehensive,5,256
Comprehensive,5,257
Third Party insurance,5,258
Comprehensive,7,259
Third Party insurance,5,260
Zero Dep,5,261
Third Party,5,262
Third Party insurance,5,263
Comprehensive,5,264
Comprehensive,5,265
Comprehensive,5,266
Third Party,5,267
Comprehensive,5,268
Third Party,5,269
Comprehensive,5,270
Comprehensive,5,271
Comprehensive,5,272
Comprehensive,5,273
Third Party insurance,5,274
Third Party insurance,5,275
Third Party insurance,5,276
Comprehensive,5,277
Comprehensive,5,278
Comprehensive,5,279
Third Party insurance,5,280
Comprehensive,5,281
Comprehensive,5,282
Comprehensive,5,283
Zero Dep,5,284
Comprehensive,5,285
Comprehensive,8,286
Comprehensive,5,287
Comprehensive,5,288
Comprehensive,5,289
Comprehensive,5,290
Comprehensive,7,291
Third Party insurance,5,292
Third Party insurance,5,293
Third Party insurance,5,294
Comprehensive,5,295
Third Party insurance,5,296
Comprehensive,5,297
Third Party,7,298
Third Party insurance,7,299
Comprehensive,5,300
Comprehensive,5,301
Comprehensive,5,302
Third Party insurance,5,303
Comprehensive,5,304
Third Party insurance,5,305
Comprehensive,5,306
Third Party insurance,5,307
Third Party insurance,9,308
Comprehensive,5,309
Comprehensive,5,310
Comprehensive,5,311
Third Party insurance,5,312
Comprehensive,5,313
Comprehensive,5,314
Third Party insurance,5,315
Comprehensive,5,316
Third Party insurance,5,317
Comprehensive,5,318
Third Party,5,319
Third Party insurance,5,320
Comprehensive,5,321
Third Party insurance,5,322
Third Party insurance,5,323
Third Party insurance,5,324
Third Party insurance,5,325
Comprehensive,5,326
Third Party insurance,5,327
Third Party insurance,7,328
Third Party insurance,5,329
Comprehensive,5,330
Comprehensive,5,331
Third Party insurance,5,332
Third Party insurance,5,333
Third Party,5,334
Third Party insurance,6,335
Zero Dep,5,336
Comprehensive,7,337
Comprehensive,5,338
Comprehensive,5,339
Third Party insurance,5,340
Third Party insurance,5,341
Comprehensive,5,342
Third Party insurance,5,343
Comprehensive,5,344
Third Party insurance,5,345
Third Party insurance,5,346
Comprehensive,5,347
Third Party insurance,5,348
Third Party insurance,5,349
Comprehensive,5,350
Comprehensive,5,351
Third Party insurance,7,352
Comprehensive,7,353
Comprehensive,5,354
Third Party insurance,5,355
Comprehensive,5,356
Comprehensive,7,357
Comprehensive,5,358
Comprehensive,5,359
Third Party insurance,4,360
Comprehensive,5,361
Comprehensive,5,362
Comprehensive,5,363
Third Party insurance,5,364
Comprehensive,5,365
Comprehensive,5,366
Third Party insurance,5,367
Comprehensive,5,368
Third Party insurance,5,369
Third Party,7,370
Comprehensive,5,371
Third Party insurance,5,372
Comprehensive,5,373
Comprehensive,5,374
Comprehensive,5,375
Comprehensive,5,376
Comprehensive,7,377
Comprehensive,5,378
Comprehensive,5,379
Comprehensive,5,380
Comprehensive,7,381
Comprehensive,5,382
Comprehensive,7,383
Third Party,5,384
Third Party insurance,5,385
Comprehensive,7,386
Comprehensive,5,387
Third Party insurance,5,388
Comprehensive,5,389
Comprehensive,5,390
Comprehensive,5,391
Third Party,5,392
Comprehensive,5,393
Comprehensive,5,394
Comprehensive,5,395
Comprehensive,5,396
Comprehensive,5,397
Third Party insurance,5,398
Third Party insurance,5,399
Third Party insurance,5,400
Comprehensive,5,401
Comprehensive,6,402
Third Party insurance,5,403
Third Party insurance,5,404
Third Party insurance,7,405
Third Party insurance,5,406
Comprehensive,4,407
Third Party insurance,7,408
Comprehensive,5,409
Comprehensive,5,410
Third Party insurance,5,411
Third Party insurance,5,412
Comprehensive,5,413
Third Party insurance,5,414
Comprehensive,5,415
Third Party insurance,5,416
Comprehensive,5,417
Comprehensive,5,418
Third Party insurance,5,419
Third Party insurance,5,420
Comprehensive,5,421
Third Party insurance,5,422
Third Party insurance,5,423
Third Party insurance,5,424
Third Party insurance,5,425
Third Party insurance,6,426
Third Party insurance,7,427
Third Party insurance,5,428
Comprehensive,5,429
Comprehensive,5,430
Third Party insurance,5,431
Comprehensive,5,432
Comprehensive,5,433
Comprehensive,5,434
Comprehensive,5,435
Third Party insurance,5,436
Comprehensive,5,437
Comprehensive,5,438
Third Party insurance,5,439
Third Party insurance,5,440
Third Party insurance,5,441
Comprehensive,7,442
Third Party insurance,5,443
Third Party insurance,5,444
Comprehensive,5,445
Third Party insurance,5,446
Third Party insurance,5,447
Comprehensive,5,448
Comprehensive,5,449
Comprehensive,5,450
Third Party insurance,7,451
Comprehensive,5,452
Third Party insurance,5,453
Third Party insurance,5,454
Comprehensive,5,455
Third Party insurance,5,456
Third Party insurance,5,457
Comprehensive,5,458
Third Party insurance,5,459
Third Party insurance,7,460
Third Party,5,461
Comprehensive,5,462
Third Party,5,463
Third Party insurance,2,464
Third Party insurance,5,465
Third Party insurance,5,466
Third Party,5,467
Third Party insurance,5,468
Comprehensive,7,469
Third Party insurance,5,470
Comprehensive,5,471
Comprehensive,5,472
Comprehensive,5,473
Comprehensive,5,474
Comprehensive,5,475
Third Party insurance,5,476
Comprehensive,5,477
Comprehensive,5,478
Third Party insurance,5,479
Third Party insurance,5,480
Third Party insurance,5,481
Comprehensive,7,482
Third Party insurance,5,483
Comprehensive,5,484
Third Party insurance,5,485
Third Party insurance,5,486
Third Party insurance,7,487
Comprehensive,5,488
Comprehensive,5,489
Comprehensive,5,490
Comprehensive,5,491
Comprehensive,5,492
Comprehensive,5,493
Third Party insurance,5,494
Comprehensive,5,495
Third Party insurance,5,496
Comprehensive,5,497
Comprehensive,5,498
Comprehensive,5,499
Comprehensive,5,500
Comprehensive,8,501
Comprehensive,5,502
Comprehensive,5,503
Comprehensive,5,504
Third Party insurance,5,505
Comprehensive,5,506
Third Party insurance,5,507
Comprehensive,5,508
Comprehensive,5,509
Third Party insurance,5,510
Third Party insurance,5,511
Comprehensive,5,512
Comprehensive,5,513
Comprehensive,5,514
Comprehensive,5,515
Comprehensive,5,516
Comprehensive,5,517
Comprehensive,5,518
Third Party insurance,5,519
Third Party insurance,5,520
Third Party insurance,5,521
Comprehensive,5,522
Third Party insurance,5,523
Comprehensive,5,524
Comprehensive,7,525
Comprehensive,5,526
Third Party insurance,5,527
Comprehensive,5,528
Third Party insurance,5,529
Comprehensive,5,530
Third Party insurance,5,531
Comprehensive,5,532
Comprehensive,5,533
Third Party insurance,5,534
Comprehensive,5,535
Third Party insurance,5,536
Comprehensive,5,537
Comprehensive,5,538
Third Party insurance,5,539
Third Party insurance,5,540
Third Party,5,541
Third Party insurance,7,542
Third Party insurance,5,543
Third Party insurance,5,544
Third Party insurance,5,545
Comprehensive,5,546
Comprehensive,5,547
Comprehensive,5,548
Third Party insurance,5,549
