c_id,number_of_doors,tyre_type,number_of_cylinders,drive_type,turbo_charger,super_charger,length(mm),width(mm),height(mm),color,city,Mileage(Kmpl)
1,4,"Tubeless,Radial",4,FWD,No,No,4825,1825,1480,White,kolkata,19
2,5,Not specified,3,2WD,No,No,3429,1560,1541,Red,kolkata,23
3,5,"Tubeless, Radial",3,Not specified,No,No,3991,1750,1605,Blue,kolkata,19
4,5,"Tubeless,Radial",4,FWD,No,No,3940,1710,1505,Red,kolkata,17
5,5,"Tubeless,Radial",4,AWD,Yes,No,4385,2019,1608,White,kolkata,16
6,5,"Tubeless Tyres, Radial",4,FWD,No,No,3655,1620,1675,Brown,kolkata,21
7,5,"Tubeless,Radial",4,FWD,No,No,3610,1645,1560,Silver,kolkata,20
8,5,"Tubeless,Radial",3,FWD,No,No,3679,1579,1478,Silver,kolkata,25
9,4,"Tubeless,Radial",4,2 WD,No,No,4160,1690,1530,Silver,kolkata,18
10,4,"Tubeless, Radial",3,FWD,No,No,3595,1475,1670,Red,kolkata,19
11,5,"Tubeless,Radial",4,FWD,No,No,3850,1695,1530,Grey,kolkata,19
12,5,"Tubeless,Radial",3,FWD,No,No,3731,1579,1474,Red,kolkata,22
13,5,Tubeless,4,FWD,No,No,3585,1595,1550,Grey,kolkata,20
14,5,"Tubeless, Radial",4,Not specified,Yes,No,4598,1894,1706,Red,kolkata,15
15,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Silver,kolkata,21
16,5,"Tubeless,Radial",4,4WD,Yes,No,4795,1855,1835,Black,kolkata,15
17,5,"Tubeless, Radial",3,Not specified,No,No,3655,1620,1675,Brown,kolkata,24
18,5,"Tubeless, Radial",4,Not specified,No,No,3995,1775,1505,Grey,kolkata,21
19,5,"Radial, Tubless",4,4X4,Yes,No,4395,1818,1640,Grey,kolkata,17
20,5,Tubeless,4,FWD,No,No,3585,1595,1550,Red,kolkata,20
21,5,"Tubeless,Radial",4,AWD,Yes,No,4371,1996,1649,Gray,kolkata,
22,5,"Tubeless,Radial",3,FWD,No,No,3545,1515,1475,Silver,kolkata,24
23,5,"Tubeless,Radial",3,Not specified,No,No,3993,1811,1606,Green,kolkata,17
24,4,"Tubeless, Radial",4,FWD,No,No,4490,1730,1485,Red,kolkata,21
25,5,"Tubeless,Radial",4,AWD,Yes,No,4371,1996,1649,Silver,kolkata,
26,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Brown,kolkata,18
27,5,"Tubeless, Radial",4,Not specified,No,No,3805,1680,1520,Blue,kolkata,21
28,5,"Tubeless,Radial",4,FWD,No,No,3940,1710,1505,Others,kolkata,17
29,5,Tubeless,4,FWD,No,No,4270,1780,1665,Grey,kolkata,15
30,5,"Radial, Tubeless",4,Not specified,No,No,3845,1735,1530,Silver,kolkata,22
31,5,Tubeless,4,FWD,No,No,4270,1780,1630,White,kolkata,13
32,4,"Tubeless, Radial",4,Not specified,No,No,4440,1729,1475,Black,kolkata,18
33,5,"Tubeless, Radial",3,FWD,No,No,3715,1635,1565,Red,kolkata,23
34,5,"Tubeless Tyres, Radial",3,FWD,No,No,3655,1620,1675,Brown,kolkata,22
35,5,Tubeless,4,FWD,No,No,3765,1660,1520,Red,kolkata,19
36,4,"Tubeless,Radial",4,RWD,Yes,No,5063,1860,1494,Grey,kolkata,16
37,4,"Tubless, Radial",4,FWD,No,No,4425,1730,1495,Red,kolkata,17
38,5,"Tubeless Tyres, Radial",3,FWD,No,No,3655,1620,1675,Blue,kolkata,22
39,5,"Tubeless,Radial",4,Not specified,No,No,3940,1710,1505,Others,kolkata,22
40,4,"Tubeless,Radial",4,FWD,No,No,4440,1695,1495,Maroon,kolkata,17
41,5,"Tubless, Radial",4,FWD,Yes,No,4585,1866,1774,Others,kolkata,17
42,4,"Tubeless,Radial",4,FWD,No,No,3995,1695,1555,White,kolkata,19
43,4,"Tubeless,Radial",4,2 WD,No,No,4160,1690,1530,Blue,kolkata,18
44,5,"Tubeless,Radial",4,FWD,No,No,3995,1745,1510,Blue,kolkata,21
45,4,"Tubeless,Radial",4,FWD,No,No,4545,1750,1450,Others,kolkata,13
46,4,"Tubeless,Radial",4,2 WD,No,No,4160,1690,1530,Blue,kolkata,18
47,5,"Tubeless, Radial",4,Not specified,No,No,4300,1790,1635,White,kolkata,
48,5,Tubeless,3,FWD,Yes,No,3746,1647,1535,Others,kolkata,27
49,5,"Tubeless, Radial",4,Not specified,No,No,3805,1680,1520,Blue,kolkata,21
50,4,"Tubeless,Radial",4,FWD,No,No,3990,1680,1505,Others,kolkata,18
51,4,"Tubeless,Radial",4,FWD,Yes,No,4386,1699,1466,Golden,kolkata,20
52,5,Not specified,3,2WD,No,No,3429,1560,1541,Silver,kolkata,22
53,5,"Tubeless,Radial",4,Not specified,No,No,3565,1525,1590,Black,kolkata,
54,4,"Tubeless,Radial",4,Not specified,Yes,No,4520,1817,1421,Red,kolkata,16
55,4,"Tubeless,Radial",4,FWD,No,No,4560,1730,1487,Gray,kolkata,15
56,4,"Tubeless, Runflat",4,RWD,Twin,No,4936,2126,1466,Grey,kolkata,20
